Salary,playerID,POS,AB_bat,G_bat,pa,HR_bat,R_bat,RBI_bat,SB_bat,BB_bat,SO_bat,ISO,BABIP,AVG,OBP,SLUG,wOBA,wRC,wSB,BsR,Def,Off,WAR,TeamFit,Team Fit,Land Prob,Available,Bats,Throws,Full Name,Team,Min Def,Max Def,Min Off,Max Off,Min Team Fit,Max Team Fit,Bargain 2,Off (Norm),Def (Norm),Min Bargain 2,Max Bargain 2
8000000,sabatcc01,SP,3,23,3,0,0,0,0,0,2,0,0,0,0,0,0,-0.407666406,0,0,14.63478261,-0.829732066,0,0.79028893,0.79028893,0.036211685,0,Right,,sabatcc01,z-Unknown,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,8.87E-02,56.98386708,67.8550005,-0.00000172,9.99E-05
4500000,salazda01,SP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,0,0,1.470046824,1.470046824,0.40718972,0,Right,Right, Daniel Dariel Salazar ,z-Unknown,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,0.219220136,58.0903995,73.04608223,-0.00000172,9.99E-05
15000000,salech01,SP,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24,0,0,0.326083114,0.326083114,0.633742138,0,Left,Left, Christopher Sale ,Boston Red Sox,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,4.71E-02,58.0903995,65.09703646,-0.00000172,9.99E-05
19800000,samarje01,SP,50,32,56,0,1,1,0,0,30,0.04,0.3,0.12,6,8,0.12188,-2.264996085,-0.01508,49.98492,11.35625,-9.467333483,53.41733877,6.869435611,6.869435611,0.696192251,1,Right,Right, Jeffrey Alan Samardzija ,San Francisco Giants,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,0.249071095,45.46474375,66.98513382,-0.00000172,9.99E-05
3900000,sanchaa01,SP,2,27,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.271777604,0,0,13.31111111,-0.55315471,0,0.717313311,0.717313311,0.010135253,0,Right,Right, Aaron Jacob Sanchez ,z-Unknown,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,0.127825211,57.35271123,67.50380139,-0.00000172,9.99E-05
9000000,sanchan01,SP,52,30,56,0,1,1,0,0,24,0,0.214285714,0.115384615,6,6,0.102461538,-3.116549605,-0.02262,52.02866205,11,-10.42662562,53.61583742,6.79022097,6.79022097,0.845303509,1,Right,Right, Anibal Alejandro Sanchez ,Washington Nationals,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,0.493986117,44.18542974,66.89061287,-0.00000172,9.99E-05
669800,sanchga02,C,396,106,446,34,62,77,0,40,125,0.292929293,0.243697479,0.232323232,182.0227273,106.2575758,0.304198646,45.63681749,-0.72007,435.3321039,30.375,-5.786902533,92.05828515,57.66664385,57.66664385,0.816526067,1,Right,Right, Gary Sanchez ,New York Yankees,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,52.92580279,50.37297417,72.03122575,-0.00000172,9.99E-05
18600000,sandopa01,3B,272,108,296,14,42,41,1,18,67,0.238970588,0.304123711,0.268382353,113.0036765,96.15441176,0.312797945,32.28137179,0.00019,290.1417829,41.75438596,-1.529732927,76.98541015,40.02405158,40.02405158,0.634762858,0,Both,Right, Pablo Emilio Sandoval ,z-Unknown,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,1.360587741,56.05034447,75.05042668,-0.00000172,9.99E-05
2650000,sanomi01,3B,380,105,439,34,76,79,0,55,159,0.328947368,0.319148936,0.247368421,208.0078947,117.2684211,0.30891344,46.5413704,-0.74269,434.3474001,48.24561404,-3.897655273,90.99139473,60.13861586,60.13861586,0.102936871,0,Right,Right, Miguel Angel Sano ,Minnesota Twins,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,13.98211215,52.89247827,76.77269201,-0.00000172,9.99E-05
20500000,santaca01,1B,573,158,686,34,110,93,4,108,108,0.233856894,0.29330254,0.280977312,382.0052356,193.1780105,0.294649852,65.06516697,0.06485,681.1125564,-118.3870968,-14.7357752,113.501608,85.3063396,85.3063396,0.444777759,0,Both,Right, Carlos Santana ,Cleveland Indians,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,2.598953607,38.43873884,32.5613754,-0.00000172,9.99E-05
